ilce_adi;mahalle_adi;tarimsal_sulama_suyu_kaynagi
Kadınhanı;KOLUKISA;YERALTI SULARI
Kadınhanı;KONURÖREN;ŞAHSİ KUYULAR
Kadınhanı;KÖKEZ;ŞAHSİ KUYULAR
Kadınhanı;KÖYLÜTOLU;ŞAHSİ KUYULAR
Kadınhanı;KURTHASANLI;ŞAHSİ KUYULAR
Kadınhanı;KÜÇÜKKUYU;YERALTI SULARI
Kadınhanı;MAHMUDİYE;GÖL
Kadınhanı;MEYDANLI;YERALTI SULARI
Kadınhanı;ÖRNEK;ŞAHSİ KUYULAR
Kadınhanı;PİRALİ;YOK
Kadınhanı;PUSAT;GÖL
Kadınhanı;SAÇIKARA;YERALTI SULARI
Kadınhanı;SARIKAYA;YOK
Kadınhanı;SÖĞÜTÖZÜ;ŞAHSİ KUYULAR
Kadınhanı;ŞAHÖREN;GÖLET
Kadınhanı;TOSUNOĞLU;ŞAHSİ KUYULAR
Kadınhanı;YAĞLICA;YOK
Kadınhanı;YAYLAYAKA;ŞAHSİ KUYULAR
Karapınar;HOTAMIŞ;YERALTI SULARI
Karapınar;KESMEZ;YERALTI SULARI
Karapınar;AKÇAYAZI;YERALTI SULARI
Karapınar;AKÖREN;YERALTI SULARI
Karapınar;ÇİĞİL;YERALTI SULARI
Karapınar;HASANOBA;YERALTI SULARI
Karapınar;İSLİK;YERALTI SULARI
Karapınar;KARAKIŞLA;YERALTI SULARI
Karapınar;KAYACIK;YERALTI SULARI
Karapınar;KAYALI;ŞAHSİ KUYULAR
Karapınar;KAZANHÜYÜĞÜ;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Karapınar;KÜÇÜKAŞLAMA;ŞAHSİ KUYULAR, YERALTI SULARI
Karapınar;ORTAOBA;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Karapınar;OYMALI;KOOPERATİF KUYULARI
Karapınar;SAZLIPINAR;ŞAHSİ KUYULAR
Karapınar;YAĞMAPINAR;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Karapınar;YENİKUYU;KOOPERATİF KUYULARI
Karapınar;YEŞİLYURT;ŞAHSİ KUYULAR
Karatay;YARMA;BARAJ
Karatay;ACIDORT;KANAL, YERALTI SULARI
Karatay;AĞSAKLI;ŞAHSİ KUYULAR
Karatay;AKBAŞ;ŞAHSİ KUYULAR
Karatay;AKÖRENKIŞLA;YERALTI SULARI
Karatay;BAKIRTOLU;BARAJ, GÖLET, YERALTI SULARI
Karatay;BAŞGÖTÜREN;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Karatay;BEŞAĞIL;YERALTI SULARI
Karatay;BÜYÜKBURNAK;ŞAHSİ KUYULAR
Karatay;ÇENGİLTİ;ŞAHSİ KUYULAR, KANAL
Karatay;DİVANLAR;YOK
Karatay;ESENTEPE;ŞAHSİ KUYULAR
Karatay;GÖÇÜ;BARAJ
Karatay;HAYIROĞLU MERKEZ;ŞAHSİ KUYULAR
Karatay;İPEKLER;YERALTI SULARI
Karatay;İSMİL;BARAJ
Karatay;KARADONA;ŞAHSİ KUYULAR, YERALTI SULARI
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;ŞAHSİ KUYULAR
Karatay;KIZÖREN;KOOPERATİF KUYULARI
Karatay;KÖSEALİ;ŞAHSİ KUYULAR
Karatay;OBRUK;YERALTI SULARI
Karatay;OVAKAVAĞI;ŞAHSİ KUYULAR
Karatay;SAKYATAN;KANAL
Karatay;SÜRÜÇ;YERALTI SULARI
Karatay;ŞATIR;KOOPERATİF KUYULARI
Karatay;YAĞLIBAYAT;ŞAHSİ KUYULAR
Karatay;YAVŞANKUYU;ŞAHSİ KUYULAR
Karatay;YENİCE;YERALTI SULARI
Karatay;YENİKENT;ŞAHSİ KUYULAR
Karatay;ZİNCİRLİ;ŞAHSİ KUYULAR
Kulu;ACIKUYU;ŞAHSİ KUYULAR
Kulu;AĞILBAŞI;ŞAHSİ KUYULAR
Kulu;ALTILAR;AKARSU
Kulu;ARŞINCA;ŞAHSİ KUYULAR
Kulu;BEŞKARDEŞ;YOK
Kulu;BOĞAZÖREN;YOK
Kulu;BOZAN;ŞAHSİ KUYULAR
Kulu;BURUNAĞIL;ŞAHSİ KUYULAR
Kulu;CANIMANA;YERALTI SULARI
Kulu;CELEP;ŞAHSİ KUYULAR
Kulu;DİPDEDE;YOK
Kulu;DOĞUTEPE;ŞAHSİ KUYULAR
Kulu;FEVZİYE;ŞAHSİ KUYULAR
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;ŞAHSİ KUYULAR
Kulu;HİSAR;YOK
Kulu;KARACADAĞ;DERE
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;YERALTI SULARI, KOOPERATİF KUYULARI
Kulu;KÖMÜŞİNİ;YOK
Kulu;KÖŞKER;YOK
Kulu;SARIYAYLA;KOOPERATİF KUYULARI
Kulu;SEYİTAHMETLİ;DERE, YERALTI SULARI
Kulu;SOĞUKKUYU;ŞAHSİ KUYULAR
Kulu;ŞEREFLİ;ŞAHSİ KUYULAR
Kulu;TAVLIÖREN;ŞAHSİ KUYULAR
Kulu;ÖMERANLI;ŞAHSİ KUYULAR
Kulu;TUZYAKA;ŞAHSİ KUYULAR
Kulu;YARAŞLI;YOK
Kulu;YAZIÇAYIR;YOK
Kulu;YEŞİLTEPE;ŞAHSİ KUYULAR
Kulu;YEŞİLYURT;ŞAHSİ KUYULAR
Kulu;ZİNCİRLİKUYU;YERALTI SULARI
Kulu;BAHADIRLI;ŞAHSİ KUYULAR
Kulu;DEĞİRMENÖZÜ;ŞAHSİ KUYULAR
Meram;ERENKAYA;YOK
Meram;YATAĞAN;ŞAHSİ KUYULAR
Meram;GÖKYURT;ŞAHSİ KUYULAR, AKARSU
Meram;BAYAT;ŞAHSİ KUYULAR
Meram;BORUKTOLU;YERALTI SULARI
Meram;BOTSA;GÖLET
Meram;ÇAYIRBAĞI;KOOPERATİF KUYULARI
Meram;ÇOMAKLAR;DERE, YERALTI SULARI
Meram;ÇUKURÇİMEN;KOOPERATİF KUYULARI
Meram;EVLİYATEKKE;GÖLET
Meram;HATUNSARAY;ŞAHSİ KUYULAR, GÖLET
Meram;İKİPINAR;DERE, YERALTI SULARI
Meram;İLYASBABA;DERE
Meram;İNLİCE;GÖLET
Meram;KARAAĞAÇ;YOK
Meram;KAVAK;YERALTI SULARI
Meram;KAYADİBİ;ŞAHSİ KUYULAR
Meram;KAYALI;ÇAY
Meram;KAYHÜYÜK;YERALTI SULARI
Meram;KIZILÖREN;KOOPERATİF KUYULARI
Meram;KUMRALI;YERALTI SULARI
Meram;SADIKLAR;ŞAHSİ KUYULAR, AKARSU
Meram;SAĞLIK;YERALTI SULARI
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;BARAJ
Meram;YEŞİLDERE;YERALTI SULARI
Meram;YEŞİLTEKKE;YERALTI SULARI
Meram;KAŞINHANI;ŞAHSİ KUYULAR
Sarayönü;LADİK;GÖLET
Sarayönü;BAHÇESARAY;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Sarayönü;BAŞHÜYÜK;ŞAHSİ KUYULAR
Sarayönü;BOYALI;ŞAHSİ KUYULAR
Sarayönü;BÜYÜKZENGİ;ÇAY
Sarayönü;ÇEŞMELİSEBİL;YERALTI SULARI
Sarayönü;DEĞİRMENLİ;ŞAHSİ KUYULAR, YERALTI SULARI
Sarayönü;ERTUĞRUL;GÖLET
Sarayönü;GÖZLÜ;ŞAHSİ KUYULAR, YERALTI SULARI
Sarayönü;KADIOĞLU;ŞAHSİ KUYULAR
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;ŞAHSİ KUYULAR
Sarayönü;KAYIÖREN;ŞAHSİ KUYULAR
Sarayönü;KONAR;ŞAHSİ KUYULAR
Sarayönü;KURŞUNLU;YOK
Sarayönü;KUYULUSEBİL;ŞAHSİ KUYULAR
Sarayönü;ÖZKENT;YERALTI SULARI
Sarayönü;YENİCEKAYA;ŞAHSİ KUYULAR
Selçuklu;BAŞARAKAVAK;AKARSU
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;ŞAHSİ KUYULAR
Selçuklu;BAĞRIKURT;YOK
Selçuklu;BİÇER;ŞAHSİ KUYULAR
Selçuklu;ÇALDERE;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Selçuklu;ÇALTI;ŞAHSİ KUYULAR
Selçuklu;ÇANDIR;YOK
Selçuklu;DAĞDERE;ŞAHSİ KUYULAR
Selçuklu;EĞRİBAYAT;ŞAHSİ KUYULAR
Selçuklu;GÜVENÇ;ŞAHSİ KUYULAR
Selçuklu;KALE;ŞAHSİ KUYULAR, YERALTI SULARI
Selçuklu;KARAÖMERLER;ŞAHSİ KUYULAR
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;ŞAHSİ KUYULAR
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTİN;AKARSU
Selçuklu;SIZMA;ŞAHSİ KUYULAR
Selçuklu;TEPEKENT;AKARSU
Selçuklu;ULUMUHSİNE;ÇAY, GÖL
Selçuklu;YAZIBELEN;ŞAHSİ KUYULAR
Selçuklu;SİLLE;BARAJ
Selçuklu;ARDIÇLI;GÖLET
Selçuklu;AŞAĞIPINARBAŞI;YERALTI SULARI
Selçuklu;YUKARIPINARBAŞI;YERALTI SULARI
Selçuklu;KÜÇÜKMUHSİNE;BARAJ
Selçuklu;SARICALAR;YERALTI SULARI
Selçuklu;TÖMEK;ŞAHSİ KUYULAR
Selçuklu;YÜKSELEN;KOOPERATİF KUYULARI
Selçuklu;Mehmet Fatih;
Seydişehir;KESECİK;GÖL, YERALTI SULARI
Seydişehir;AKÇALAR;ŞAHSİ KUYULAR
Seydişehir;AŞAĞIKARAÖREN;GÖL
Seydişehir;BAŞKARAÖREN;GÖL
Seydişehir;BOSTANDERE;GÖLET
Seydişehir;BOYALI;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Seydişehir;BÜKÇE;DERE, YERALTI SULARI
Seydişehir;ÇAT;DERE
Seydişehir;ÇATMAKAYA;ŞAHSİ KUYULAR
Seydişehir;ÇAVUŞ;ŞAHSİ KUYULAR, YERALTI SULARI
Seydişehir;DİKİLİTAŞ;GÖLET
Seydişehir;GEVREKLİ;GÖL
Seydişehir;GÖKÇEHÜYÜK;GÖLET
Seydişehir;GÖKHÜYÜK;KANAL
Seydişehir;GÖLYÜZÜ;GÖL
Seydişehir;IRMAKLI;ÇAY
Seydişehir;İNCESU;GÖL
Seydişehir;KARABULAK;GÖL
Seydişehir;KARACAÖREN;DERE
Seydişehir;KAVAK;ŞAHSİ KUYULAR
Seydişehir;KETENLİ;ŞAHSİ KUYULAR
Seydişehir;KIZILCA;GÖLET, YERALTI SULARI
Seydişehir;KOZLU;GÖLET
Seydişehir;KUMLUCA;KANAL
Seydişehir;KURAN;GÖL
Seydişehir;MADENLİ;YOK
Seydişehir;MESUDİYE;GÖLET
Seydişehir;MURADİYE;GÖL
Seydişehir;OĞLAKÇI;KOOPERATİF KUYULARI
Seydişehir;ORTAKARAÖREN;GÖL
Seydişehir;SARAYCIK;ŞAHSİ KUYULAR
Seydişehir;SUSUZ;GÖL
Seydişehir;TARAŞÇI;GÖLET
Seydişehir;TAŞAĞIL;GÖL
Seydişehir;TEPECİK;YOK
Seydişehir;TOL;YERALTI SULARI, KOOPERATİF KUYULARI
Seydişehir;UFACIK;YOK
Seydişehir;YAYLACIK;GÖLET, YERALTI SULARI
Seydişehir;YENİCE;YERALTI SULARI
Taşkent;AFŞAR;ŞAHSİ KUYULAR
Taşkent;BALCILAR;YERALTI SULARI
Taşkent;BOLAY;YERALTI SULARI
Taşkent;ÇETMİ;ÇAY, DERE
Taşkent;KECİMEN;YERALTI SULARI
Taşkent;KONGUL;YERALTI SULARI
Taşkent;SAZAK;DERE
Taşkent;ILICAPINAR;AKARSU
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;YOK
Tuzlukçu;KORAŞI;YOK
Tuzlukçu;ÇÖĞÜRLÜ;ŞAHSİ KUYULAR
Tuzlukçu;TURSUNLU;ŞAHSİ KUYULAR
Tuzlukçu;KUNDULLU;ÇAY
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;ŞAHSİ KUYULAR
Tuzlukçu;GÜRSU;ŞAHSİ KUYULAR
Tuzlukçu;ERDOĞDU;ŞAHSİ KUYULAR
Tuzlukçu;KÖKLÜCE;DERE, YERALTI SULARI
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Yunak;KOÇYAZI;ŞAHSİ KUYULAR
Yunak;TURGUT;ŞAHSİ KUYULAR
Yunak;PİRİBEYLİ;YOK
Yunak;SÜLÜKLÜ;ŞAHSİ KUYULAR
Yunak;ALTINÖZ;ŞAHSİ KUYULAR
Yunak;AYRITEPE;YOK
Yunak;BEŞIŞIKLI;ŞAHSİ KUYULAR
Yunak;CEBRAİL;YOK
Yunak;ÇAYIRBAŞI;ŞAHSİ KUYULAR, YERALTI SULARI
Yunak;EĞRİKUYU;ŞAHSİ KUYULAR
Yunak;HACIÖMEROĞLU;DERE
Yunak;HATIRLI;ŞAHSİ KUYULAR
Yunak;HACIFAKILI;ŞAHSİ KUYULAR
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;YERALTI SULARI
Yunak;İMAMOĞLU;YERALTI SULARI
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;YERALTI SULARI
Yunak;KILLAR;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Yunak;KURTUŞAĞI;YOK
Yunak;KUYUBAŞI;YERALTI SULARI
Yunak;MEŞELİK;YOK
Yunak;ODABAŞI;ŞAHSİ KUYULAR, GÖLET
Yunak;ORTAKIŞLA;ŞAHSİ KUYULAR, DERE
Yunak;ÖZYAYLA;DERE
Yunak;SERTLER;ŞAHSİ KUYULAR
Yunak;SEVİNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SİNANLI;ŞAHSİ KUYULAR
Yunak;YAVAŞLI;ŞAHSİ KUYULAR
Yunak;YEŞİLOBA;ŞAHSİ KUYULAR
Yunak;YEŞİLYAYLA;YERALTI SULARI
Yunak;YIĞAR;ŞAHSİ KUYULAR, YERALTI SULARI
Yunak;SARAY;ŞAHSİ KUYULAR, YERALTI SULARI
;;
